prob	year	artist	song	snippet	url	features
0.91	2023	GooseByTheWay, SK Da King, 7xvethegenius & Lucky Seven	Take It Back	fentanyl, before they stepped on cocaine / Before niggas started payin' thirty for a whole thing / Sometimes I wish that I	https://genius.com/Goosebytheway-sk-da-king-7xvethegenius-and-lucky-seven-take-it-back-lyrics	"weak kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; price word; drug context; number counts other noun"
0.90	0	Ameer Vann	All I Know	chains gettin' heavy but my head gettin' bigger / Thirty for a brick and a hunnid in the trunk / Leave a	https://genius.com/Ameer-vann-all-i-know-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; number counts other noun"
0.90	0	Kane & Abel (Ft. Master P & Prime Suspects)	Greens, Cornbread, and Cabbage	wanting sacks / Got niggas in the hood waiting on me for crack / Fifteen five for a key now I'm	https://genius.com/Kane-and-abel-greens-cornbread-and-cabbage-lyrics	"kilo term; num near kilo (fifteen five); plausible $K; ""for a brick""; ""N a key""; number counts other noun"
0.90	2008	Bronze Nazareth	Chambers of Four	see my fingers trim their cartilage / I'll give you twenty for a brick or banana clip cartridges / That's	https://genius.com/Bronze-nazareth-chambers-of-four-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; ""N a key""; number counts other noun"
0.90	2021	Rx Papi	Daisy Lane	goofy ass niggas be doing it for fame / Study for a ten thirty for a brick shit tell me what	https://genius.com/Rx-papi-daisy-lane-lyrics	"kilo term; num near kilo (ten thirty); plausible $K; ""for a brick""; ""N a key""; number counts other noun"
0.90	1998	Scarface (Ft. FACEMOB & Hoodlumz)	Don't Testify	started sayin' / Told him [?], traffic and [?] / Offered him 5 for each key and it's crackin' him up / Now we	https://genius.com/Scarface-dont-testify-lyrics	"weak kilo term; num near kilo (5); plausible $K; ""for a brick""; ""N a key""; apiece"
0.90	2021	Struggle Mike & Smoke Bulga (Ft. Heem B$F)	John Gotti	hang around them niggas (I do) / Only thirty for a bird, I know the real dealers (Psh) / Anybody say a	https://genius.com/Struggle-mike-and-smoke-bulga-john-gotti-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; number counts other noun"
0.89	2015	Big Ghost Ltd, Conway the Machine & Westside Gunn	If I Ruled the World ’15	ruled the world / I take it back to '05 when coke prices was eighteen a key / If I ruled the	https://genius.com/Big-ghost-ltd-conway-the-machine-and-westside-gunn-if-i-ruled-the-world-15-lyrics	"kilo term; num near kilo (eight); plausible $K; ""N a key""; price word; drug context"
0.89	2021	Erick the Architect	Self Made	I’ll tell you why the white sell like 10 a key (Yeah!) / They run in ‘tree like 3-6	https://genius.com/Erick-the-architect-self-made-lyrics	"kilo term; num near kilo (10); plausible $K; ""N a key""; price word; drug context"
0.87	2019	Cookie Money	Street Visions	need an ambulance / I'm low-key smokin' weed in a caravan / Thirty for a brick, I ain't never	https://genius.com/Cookie-money-street-visions-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; other drug"
0.85	0	Emoney X JC (Ft. Sirflexalot)	prada	my bitch, yuh / You know we be pullin' them sticks, yuh / I got twenty fucking thousand for a brick, yuh 	https://genius.com/Emoney-x-jc-prada-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; price word; money unit"
0.85	0	Lil Lyko	Lean	I say that I know things / (Verse 1) / Spend 10 grand on a bitch, spend six on a brick / Smoke	https://genius.com/Lil-lyko-lean-lyrics	"kilo term; num near kilo (six); plausible $K; ""for a brick""; price word; money unit"
0.85	0	Lil Uzi Vert	Freestyle 150 (On My Grind)	your bitch, choppa gonna swerve your man (Bah, bah, bah) / Twenty-bands for a brick, psych, no, that's a	https://genius.com/Lil-uzi-vert-freestyle-150-on-my-grind-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; price word; money unit"
0.85	2016	Benny the Butcher (Ft. 38 Spesh & Conway the Machine)	3 Missiles	the money, then she go get the product / Spent 60 grand on a brick of diesel for dollars / I could	https://genius.com/Benny-the-butcher-3-missiles-lyrics	"kilo term; num near kilo (60 grand); plausible $K; ""for a brick""; price word; money unit"
0.85	2018	Young Scooter	Plug Lingo	nigga, I speak plug lingo / Like how I sell a bird for twenty and they cost three-oh / I know	https://genius.com/Young-scooter-plug-lingo-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""brick for N""; price word; drug context"
0.83	2025	Buani	Kennedy	t assassinate me / Never sold drugs / But if I did, 20 a key / Bad bitch text me / Buani are you	https://genius.com/Buani-kennedy-lyrics	"kilo term; num near kilo (20); plausible $K; ""N a key""; price word"
0.83	2014	Millyz & The Colombians (Ft. Jadakiss)	The Plug Remix	that money short I put these bullets on his [?] / Sixty for the whole thing / Thirty for the half / You ain	https://genius.com/Millyz-and-the-colombians-the-plug-remix-lyrics	"weak kilo term; num near kilo (six); plausible $K; ""for a brick""; ""N a key"""
0.83	2021	Struggle Mike, Black Soprano Family & Smoke Bulga (Ft. Benny the Butcher & Heem B$F)	John Gotti (Remix)	hang around them niggas (I do) / Only thirty for a bird, I know the real dealers (Psh) / Anybody say a	https://genius.com/Struggle-mike-black-soprano-family-and-smoke-bulga-john-gotti-remix-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; number counts other noun; dup snippet"
0.81	0	Florence Sinclair	Hard food	my business / Yeah / But how much? / Well it's forty grand a key / Forty? / Man loud prices there fam / You	https://genius.com/Florence-sinclair-hard-food-lyrics	"kilo term; num near kilo (forty); plausible $K; ""N a key""; price word; money unit; other drug"
0.81	2021	Jordan (UK)	Daily Duppy	on my knees / 9 grand upfront 6 months on the keys / Next day 9 grand went and fixed up my	https://genius.com/Jordan-uk-daily-duppy-lyrics	"kilo term; num near kilo (6); plausible $K; ""for a brick""; price word; money unit; number counts other noun"
0.78	0	Snap Capone	Catching Them Bodies	in Dior / Talking Giuseppes, I bought the whole store / Took a twenty on a brick, fuck that, hold a ten	https://genius.com/Snap-capone-catching-them-bodies-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; price word"
0.78	2017	Trapp Tarell	Santa the Plug Story	"look, I think Grinch is out here playin foul."" / Your bricks go for 25, he sellin' them for 10 / Only"	https://genius.com/Trapp-tarell-santa-the-plug-story-lyrics	"kilo term; num near kilo (25); plausible $K; ""brick for N""; price word"
0.78	2020	Zaytoven (Ft. OJ da Juiceman, Yung LA & Yung Ralph)	EA LEGENDS	still got the weight (Ayy, ayy, ayy, wait) / No more pain, sold the bricks for twenty-eight (Ayy, ayy, ayy	https://genius.com/Zaytoven-ea-legends-lyrics	"kilo term; num near kilo (twenty-eight); plausible $K; ""brick for N""; price word"
0.75	0	Ice City (Ft. Babyface (UK) & Meechie318)	Street Therapy	the ting at Tracy's, brazy / Re-up on the brick, that's thirty-six, half a brick, eighteen / Walk	https://genius.com/Ice-city-street-therapy-lyrics	"kilo term; num near kilo (eight); plausible $K; ""for a brick""; drug context"
0.75	2015	Dion Lekeith	Pyrex	m hard as a brick / Pyrex / Never put 20 on a key / Still Placed bout a Hunnid on a V	https://genius.com/Dion-lekeith-pyrex-lyrics	"kilo term; num near kilo (20); plausible $K; ""for a brick""; drug context"
0.75	2015	Gucci Mane (Ft. Fetty Wap & Lil Reese)	Still Selling Dope (Remix)	thangs, that's if you really want some work / When a brick was twenty-six, it got me goddamn rich	https://genius.com/Gucci-mane-still-selling-dope-remix-lyrics	"kilo term; num near kilo (twenty-six); plausible $K; ""brick for N""; drug context"
0.73	2010	Doughboyz Cashout	Grind 2 Shine	on some foreign shit / Use to cop hard Oz, hoping for a Brick / 19 years old, I was paying Mortgage	https://genius.com/Doughboyz-cashout-grind-2-shine-lyrics	"kilo term; num near kilo (19); plausible $K; ""for a brick""; price word; drug context; oz/gram nearby; number counts other noun"
0.72	0	Corleone (UK) (Ft. Snap Capone)	Poor Little Rich Kid	get a brick quick / Heard that sniff shit, 35 a brick prick / I can get your brick whipped, a hundred	https://genius.com/Corleone-uk-poor-little-rich-kid-lyrics	"kilo term; num near kilo (35); plausible $K; ""N a key"""
0.72	0	Lil Pump	30 Bitches (2016)	my dick (Thirty) / Thirty bitches (Thirty) on my dick / Forty thousand on a brick / I could never trust a bitch	https://genius.com/Lil-pump-30-bitches-2016-lyrics	"kilo term; num near kilo (forty thousand); plausible $K; ""for a brick""; price word; money unit; price of other thing; number counts other noun"
0.72	0	Rex P	Devon Freestyle	the ivory; / Plus I've got the Guinea link, talking 25 a key / If they ever catch me wid it	https://genius.com/Rex-p-devon-freestyle-lyrics	"kilo term; num near kilo (25); plausible $K; ""N a key"""
0.72	1994	Kokane (Ft. Cold 187um, Dirty Red & KMG the Illustrator)	Aftermath	Or do you wanna die for my Kokane that's 17-5 a ki? / Awww yeah, I sit leanin' on	https://genius.com/Kokane-aftermath-lyrics	"kilo term; num near kilo (17-5); plausible $K; ""N a key"""
0.72	2009	French Montana	Love You Till You're Gone	Canal I get it free, nah it ain't ten a key / Look homey it's 35, I dont know	https://genius.com/French-montana-love-you-till-youre-gone-lyrics	"kilo term; num near kilo (ten); plausible $K; ""N a key"""
0.72	2019	Lil B	BasedWorld Made Man	two for three / I got the verses and they goin' 25 a key / I got a lotta cake / Movie stay	https://genius.com/Lil-b-basedworld-made-man-lyrics	"kilo term; num near kilo (25); plausible $K; ""N a key"""
0.72	2023	D$TAXK	KONY	K THIS WEEK YOU SHOULD TRY IT OUT / OH YOU WANT THE BRICK FOR FORTY YOU GOTTA BUY IT NOW	https://genius.com/D-taxk-kony-lyrics	"kilo term; num near kilo (forty); plausible $K; ""brick for N""; price word; number counts other noun"
0.72	2015	Waka Flocka Flame	Target Practice	you thirtytwo rest for a bird / I could get you twenty three hundred for a bird / Nigga [?] / So you better	https://genius.com/Waka-flocka-flame-target-practice-lyrics	"kilo term; num near kilo (two); implausible value 2; ""for a brick""; ""N a key"""
0.72	2025	Boldy James & RichGains	Custo	blessed me, courtesy of the chef / Still get thirty a key for the Fent' and a extra service free for	https://genius.com/Boldy-james-and-richgains-custo-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""N a key"""
0.67	2000	Drama (Rap)	The Plot	28 grams and an ounce of a thousand and 8 per key / Drop by the music store to holler at	https://genius.com/Drama-rap-the-plot-lyrics	"weak kilo term; num near kilo (8); plausible $K; ""N a key""; price word; money unit; oz/gram nearby"
0.67	0	Young Pacs	Legacy	"sold ""Hold this"" / Told my plug ""I can work with a whole brick"" / Twenty-five grand lick I missed cah"	https://genius.com/Young-pacs-legacy-lyrics	kilo term; num near kilo (twenty-five grand); plausible $K; price word; money unit; drug context
0.67	2016	Friday Ricky Dred (Ft. May (Singer))	After Hours	got her hand / Know I understand / Know I gotta flip a brick and make thirty grand / She know that I	https://genius.com/Friday-ricky-dred-after-hours-lyrics	kilo term; num near kilo (thirty grand); plausible $K; price word; money unit; drug context
0.65	0	Chubbie Baby (Ft. 2 Chainz & Jim Jones)	Thank the Plug	brick at 15 and a half / Now a half a brick cost you 15 and a half / Open up my	https://genius.com/Chubbie-baby-thank-the-plug-lyrics	"kilo term; num near kilo (15); plausible $K; ""brick for N"""
0.65	0	Jeezy	Real Nigga Anthem	Yeah) / That's right, y'all crazy / If these niggas thirty a brick, then I'm eighty / You tell them	https://genius.com/Jeezy-real-nigga-anthem-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""N a key""; number counts other noun"
0.65	0	Pooh-Man (MC POOH)	Niggas Ain't Playin'	d ever find / Treated me like Vaseline, but quick as a fox / Drop a key for 25 like they was	https://genius.com/Pooh-man-mc-pooh-niggas-aint-playin-lyrics	"kilo term; num near kilo (25); plausible $K; ""brick for N"""
0.65	0	Snap Capone	Man Down	"""Don't stop rapping"" they keep telling me / I'm in the hood where the bricks go for thirty"	https://genius.com/Snap-capone-man-down-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""brick for N"""
0.65	2005	D-Block (Ft. Jadakiss)	Yayo	NC like [?] / Jada drop dead if Kiss is fronting / Your bricks cost 24, mine 60 something / Get it today, stack	https://genius.com/D-block-yayo-lyrics	"kilo term; num near kilo (24); plausible $K; ""brick for N"""
0.65	2012	Jadakiss (Ft. Ace Hood & Styles P)	Hustle Like A Muh	muh'fucker / Started with an 8-ball / Ended up with kilos / For the bricks like the louisville players / Rip the	https://genius.com/Jadakiss-hustle-like-a-muh-lyrics	"kilo term; num near kilo (8); plausible $K; ""for a brick"""
0.65	2020	Geny Luv	Oak	d-d-d-d-d-dip / Ay / On my shit thirty dollars on a brick / Ay / Back of the house	https://genius.com/Geny-luv-oak-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick"""
0.65	2024	RX HECTOR (Ft. YTB Fatt)	Any Occasion	pack touch down like Pat / I spent a twenty on a brick, sent it to Cincinnati, came back with a	https://genius.com/Rx-hector-any-occasion-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick"""
0.65	2024	Victor Rashad (Ft. Cheeky Banter)	Wartime Ready	minds can experience a little influence / I wanna break down a brick at twenty-four, but I'm soundin' stupid	https://genius.com/Victor-rashad-wartime-ready-lyrics	"kilo term; num near kilo (twenty-four); plausible $K; ""brick for N"""
0.65	2006	Genius traductions françaises	Rick Ross - Hustlin’ (Traduction Française)	cost me twenty-two / Sat it on them 22's, birds go for 22 / Lil' mama super thick, she say	https://genius.com/Genius-traductions-francaises-rick-ross-hustlin-traduction-francaise-lyrics	"kilo term; num near kilo (22); plausible $K; ""brick for N"""
0.65	2007	Rick Ross (Ft. Booba)	Hustlin’ (French Remix)	cost me twenty-two / Sat it on them twenty-twos, birds go for twenty-two / Lil' mama super thick, she	https://genius.com/Rick-ross-hustlin-french-remix-lyrics	"kilo term; num near kilo (twenty-two); plausible $K; ""brick for N"""
0.65	2011	Trick Trick (Ft. Diezel)	Stay On Fire	ain't greedy, just give me me / You could get a half brick for one sixteenth / Who want it? I	https://genius.com/Trick-trick-stay-on-fire-lyrics	"kilo term; num near kilo (one six); plausible $K; ""brick for N"""
0.65	2018	Nines	Same Way	s 4 for a  Key of Amm / Flipping hell got a new chain / Got one for his chick as well	https://genius.com/Nines-same-way-lyrics	"kilo term; num near kilo (4); implausible value 4; ""for a brick""; ""N a key""; number counts other noun"
0.62	2017	Gucci Mane, Boo Banga & Bottle Boyz	Dope	thangs, that's if you really want some work / When a brick was twenty-six, it got me goddamn rich	https://genius.com/Gucci-mane-boo-banga-and-bottle-boyz-dope-lyrics	"kilo term; num near kilo (twenty-six); plausible $K; ""brick for N""; drug context; dup snippet"
0.62	2023	Steve Stacks	Thick N Thin Bass Thumper Remix	ya melon / Fuck ya momma while she yelling / Then flip a half brick for 12-11 / Pump more gas than	https://genius.com/Steve-stacks-thick-n-thin-bass-thumper-remix-lyrics	"kilo term; num near kilo (12-1); plausible $K; ""brick for N""; drug context; other drug"
0.59	2010	Gucci Mane	Dopeman	my work / I got a trick up my sleeve / Got a 5 grand plate quarter / Brick up my sleeve / Niggas	https://genius.com/Gucci-mane-dopeman-lyrics	kilo term; num near kilo (5 grand); plausible $K; price word; money unit; drug context; number counts other noun
0.58	2020	Chance the Rapper (Ft. Lil Wayne & Young Thug)	Instagram Song 8 (CWYN)	my dick (Ah, ah) / Got my shit imported to Dubai for a key (Ah, ah) / Twenty rings on my muhfuckin	https://genius.com/Chance-the-rapper-instagram-song-8-cwyn-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; number counts other noun"
0.58	2023	OODareDevil	42	yeah I punish you / Tris in cup not 42 / Five bricks go for 42 / Wanna fuck, bitches horny too / Hey	https://genius.com/Oodaredevil-42-lyrics	"kilo term; num near kilo (five); plausible $K; ""brick for N""; number counts other noun"
0.58	2025	Benny the Butcher & Daringer (Ft. Westside Gunn)	Jasmine's	ain't buy her shit / Hermes crocodile sandals stepping on a brick (SUPER FLYGOD) / Thirty-six to forty-four, shit	https://genius.com/Benny-the-butcher-and-daringer-jasmines-lyrics	"kilo term; num near kilo (thirty-six); plausible $K; 36 = ounces?; ""for a brick""; price word"
0.55	0	AR-AB (Ft. Nitty)	North 2 West	eat a dick / Bring 32 grand if you need a brick / Call me at the office, if you need a	https://genius.com/Ar-ab-north-2-west-lyrics	kilo term; num near kilo (32 grand); plausible $K; price word; money unit
0.55	2012	DJ Khaled (Ft. Ace Hood, French Montana & Mavado)	Suicidal Thoughts (Remix)	blocks, dark for the have nots (Ha) / My homey turned a hundred grand twenty five bricks (P) / Caught doin a	https://genius.com/Dj-khaled-suicidal-thoughts-remix-lyrics	kilo term; num near kilo (twenty five); plausible $K; price word; money unit
0.55	2013	Doley Bernays	Funerals & Release Dates	that shit / Free Nova G you ain't never seen bricks / Forty wholesale on a hundred grand flips / Luck's	https://genius.com/Doley-bernays-funerals-and-release-dates-lyrics	kilo term; num near kilo (forty); plausible $K; price word; money unit
0.55	2015	Alley Boy (Ft. Mojo (USA))	Counterfeit	with me I’m gonna pull out the chrome / Bought a brand new Bronco honey / 50 grand half a brick	https://genius.com/Alley-boy-counterfeit-lyrics	kilo term; num near kilo (50 grand); plausible $K; price word; money unit
0.55	2015	Alley Boy (Ft. Yung Gwapa)	Rest Of My Life	wanna see me dead, wanna take my life / It’s a like a brick on me / Thirty grand on my	https://genius.com/Alley-boy-rest-of-my-life-lyrics	kilo term; num near kilo (thirty grand); plausible $K; price word; money unit
0.55	2015	Eside Shawty	I'm Rolling	A thousand bricks of mid on a 18 wheeler tractor truck / Plays on a hundred In The hood bitch I	https://genius.com/Eside-shawty-im-rolling-lyrics	kilo term; num near kilo (18); plausible $K; price word; money unit
0.55	2015	Migos	Aight	Ms counting up hundos, aight / Plug said he got  twenty bricks for me / I'm bout to pull up, aight	https://genius.com/Migos-aight-lyrics	kilo term; num near kilo (twenty); plausible $K; price word; drug context
0.55	2018	Dion Lekeith (Ft. Wallah Magic)	How You Trying to Roll	I can beat / Freaky Tah, RIP / Got me feeling like a key / 30 grand I'll pay the fee / Bladder	https://genius.com/Dion-lekeith-how-you-trying-to-roll-lyrics	kilo term; num near kilo (30 grand); plausible $K; price word; money unit
0.55	2018	JayDaYoungan	Wake Up	get off my dick / Stepped out and I look like a brick / Thirty bands, I put that on my wrist	https://genius.com/Jaydayoungan-wake-up-lyrics	kilo term; num near kilo (thirty bands); plausible $K; price word; money unit
0.55	2020	NAV (Ft. Lil Durk)	No Ice	up (Man up) / My brother hit a lick for thirty bricks, coke price went up / Gotta keep a wham-bam	https://genius.com/Nav-no-ice-lyrics	kilo term; num near kilo (thirty); plausible $K; price word; drug context
0.55	2024	Morrisson (Ft. GRM Daily)	Levelled Up (Daily Duppy Pt. 1)	hold my hand / Got a line, I'll give you bricks / Couple grand, a brick of piff / It's twenty	https://genius.com/Morrisson-levelled-up-daily-duppy-pt-1-lyrics	kilo term; num near kilo (twenty); plausible $K; price word; money unit
0.55	2025	Joe Blow & J1Hunnit	Jack History	the plug, he finna sneeze / He just blessed me with a half a brick and twenty Cali P's (Blessed	https://genius.com/Joe-blow-and-j1hunnit-jack-history-lyrics	kilo term; num near kilo (twenty); plausible $K; price word; drug context
0.55	2025	Jon Rich	PAC LIFE	on it / Full racks can’t see my hands / 10 bricks per passenger / Streets cold , gotta feed my fam / Takin	https://genius.com/Jon-rich-pac-life-lyrics	kilo term; num near kilo (10); plausible $K; price word; money unit
0.55	2025	aya staxks (Ft. remilia bandxz)	assist	and he gon' hit you, that's assist / If the bricks go for 75, I'll whip it with my	https://genius.com/Aya-staxks-assist-lyrics	"kilo term; num near kilo (75); ""brick for N""; drug context"
0.55	2023	AK Bandamont	Big Purchase	for the dick and call that shit urgent / Run through a brick, I made twenty-five thousand off a six	https://genius.com/Ak-bandamont-big-purchase-lyrics	kilo term; num near kilo (twenty-five thousand); plausible $K; price word; money unit
0.52	2020	Tripstar	Hop Out	a lot of packs in the suitcase / Trap nigga cooked twenty racks off a mixtape / Brick came in, it was	https://genius.com/Tripstar-hop-out-lyrics	kilo term; num within 50ch (twenty racks); plausible $K; price word; money unit; drug context
0.52	2017	Hall & Nash	Machine Gun Black	lavender and white, eatin' alligator bites / Twenty racks, get a half a key tonight (Woah) / Ayo, connect got 'em half	https://genius.com/Hall-and-nash-machine-gun-black-lyrics	kilo term; num within 50ch (twenty racks); plausible $K; price word; money unit; drug context
0.52	2020	RJ Lamont (Ft. Rio Da Yung OG & RMC Mike)	What Up RJ	in the loft today / Thirty racks on me, I sold a half a brick of soft today / Me, Mike, and	https://genius.com/Rj-lamont-what-up-rj-lyrics	kilo term; num within 50ch (thirty racks); plausible $K; price word; money unit; drug context
0.50	2011	Lil' Kim	Racks	spittin candy bars then it's fucking Pay Day / Quarter brick, half a brick, whole brick, ayy! / 20 bricks apiece	https://genius.com/Lil-kim-racks-lyrics	kilo term; num near kilo (20); plausible $K; apiece; price word; number counts other noun
0.50	2013	Chief Keef	Almighty So Intro	so you know that I'ma fuck it up / Got a verse for a key, twenty for a pound of	https://genius.com/Chief-keef-almighty-so-intro-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; other drug"
0.47	2008	Gucci Mane	Crowd In Rage	the stage / Crumb Gucci Mane, the hottest rapper in the A / Sellin' plenty yay, movin' twenty bricks a day / I	https://genius.com/Gucci-mane-crowd-in-rage-lyrics	kilo term; num near kilo (twenty); plausible $K; price word; drug context; number counts other noun
0.47	2019	Blacc Cuzz	Intro	fu** em who stopping me / And my pinky ring cost 30 racks a whole key to me / I’m in	https://genius.com/Blacc-cuzz-intro-lyrics	kilo term; num near kilo (30 racks); plausible $K; price word; money unit; number counts other noun
0.47	2018	Philthy Rich (Ft. Sada Baby)	Robin Hood	On the turnaround, nigga, me and Smoke (Turnaround) / Ten years for a key of coke (Thirty-six) / They flick they	https://genius.com/Philthy-rich-robin-hood-lyrics	"kilo term; num near kilo (thirty-six); plausible $K; 36 = ounces?; ""for a brick""; drug context; number counts other noun"
0.47	2021	10TA Lil A (Ft. MGM Dave & Rio Da Yung OG)	Meals on Wheels	my first K it had a clip in it / Do a mixtape for forty racks and buy a brick with	https://genius.com/10ta-lil-a-meals-on-wheels-lyrics	kilo term; num near kilo (forty racks); plausible $K; price word; money unit; number counts other noun
0.44	2013	XV	Canned Laughter	wrap 100’s in bands / The real square root of a key, is 32 grams / But when did I expect	https://genius.com/Xv-canned-laughter-lyrics	kilo term; num near kilo (32 g); plausible $K; price word; money unit; oz/gram nearby
0.44	2020	E-40 (Ft. Stresmatic)	Slices	Strips?) / There's 28 bones in a pack of dominoes / A thousand grams in a kilo / Eight pawns on a	https://genius.com/E-40-slices-lyrics	kilo term; num near kilo (eight); plausible $K; price word; money unit; oz/gram nearby
0.42	0	Backbone (Ft. Killer Mike)	Sho' Ya Right	on the bean, cut clean / I'll bring you the whole thing for 18 / They look to Back for the	https://genius.com/Backbone-sho-ya-right-lyrics	"weak kilo term; num near kilo (18); plausible $K; ""brick for N"""
0.42	0	Conway the Machine & Benny the Butcher (Ft. 38 Spesh & Stove God Cooks)	LALO (Original)	say that they need to get they shit together / Runnin; twenty deep, can't buy a brick together / 'Cause they	https://genius.com/Conway-the-machine-and-benny-the-butcher-lalo-original-lyrics	kilo term; num near kilo (twenty); plausible $K; price word
0.42	0	Pusha T	Speakers Going Hammer	niggers free to go / It was all good just a key ago / Price for the 20 all i need to	https://genius.com/Pusha-t-speakers-going-hammer-lyrics	kilo term; num near kilo (20); plausible $K; price word
0.42	0	Trapstar Toxic	Life I Live	You see me, I don't watch face / Eyes on a brick, thirty-six times twenty-eight / That's the	https://genius.com/Trapstar-toxic-life-i-live-lyrics	"kilo term; num near kilo (thirty-six); plausible $K; 36 = ounces?; ""for a brick"""
0.42	2008	Bun B (Ft. Kobe Honeycutt & Mddl Fngz)	Another Soldier	Open up the door, nigga standin' like shit / 15 full bricks, same price for a hit / Nigga I done done	https://genius.com/Bun-b-another-soldier-lyrics	kilo term; num near kilo (15); plausible $K; price word
0.42	2015	C Biz	The Games Mine (Full)	less / Fuck a 10 I'm in the den / I sell a brick I'm makin 10 / Free my little	https://genius.com/C-biz-the-games-mine-full-lyrics	kilo term; num near kilo (10); plausible $K; price word
0.42	2015	Genius Brasil	Lançamentos de Rap 2015	Lab / 21.08: Mick Jenkins - Wave[s] / 21.08: Sean Price - Songs In the Key of Price / 28.08: The	https://genius.com/Genius-brasil-lancamentos-de-rap-2015-lyrics	kilo term; num near kilo (8); plausible $K; price word
0.42	2018	Azizi Gibson	Trap Reaper Parody	shit 'cause I'm rich / Pardon me I just bought a key / 12-6 watch that bitch flee / 10-4	https://genius.com/Azizi-gibson-trap-reaper-parody-lyrics	kilo term; num near kilo (12-6); plausible $K; price word
